2026-03-16 14:16:29,026 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:16:39,176 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:16:39,771 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:17:09 UTC)" (scheduled at 2026-03-16 11:16:39.755577+00:00)
2026-03-16 14:16:39,772 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:17:09 UTC)" executed successfully
2026-03-16 14:16:49,361 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:17:00,009 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:17:04,768 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:17:49 UTC)" (scheduled at 2026-03-16 11:17:04.752652+00:00)
2026-03-16 14:17:04,769 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:17:04,769 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:17:49 UTC)" executed successfully
2026-03-16 14:17:09,772 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:17:39 UTC)" (scheduled at 2026-03-16 11:17:09.755577+00:00)
2026-03-16 14:17:09,774 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:17:39 UTC)" executed successfully
2026-03-16 14:17:10,869 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:17:21,315 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:17:32,779 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:17:39,769 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:18:09 UTC)" (scheduled at 2026-03-16 11:17:39.755577+00:00)
2026-03-16 14:17:39,770 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:18:09 UTC)" executed successfully
2026-03-16 14:17:43,017 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:17:49,763 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:18:34 UTC)" (scheduled at 2026-03-16 11:17:49.752652+00:00)
2026-03-16 14:17:49,764 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:17:49,764 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:18:34 UTC)" executed successfully
2026-03-16 14:17:53,176 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:18:04,930 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:18:09,758 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:18:39 UTC)" (scheduled at 2026-03-16 11:18:09.755577+00:00)
2026-03-16 14:18:09,760 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:18:39 UTC)" executed successfully
2026-03-16 14:18:15,176 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:18:25,471 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:18:34,768 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:19:19 UTC)" (scheduled at 2026-03-16 11:18:34.752652+00:00)
2026-03-16 14:18:34,769 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:18:34,769 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:19:19 UTC)" executed successfully
2026-03-16 14:18:36,676 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:18:39,773 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:19:09 UTC)" (scheduled at 2026-03-16 11:18:39.755577+00:00)
2026-03-16 14:18:39,775 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:19:09 UTC)" executed successfully
2026-03-16 14:18:48,020 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:18:58,446 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:19:08,625 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:19:09,767 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:19:39 UTC)" (scheduled at 2026-03-16 11:19:09.755577+00:00)
2026-03-16 14:19:09,770 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:19:39 UTC)" executed successfully
